Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
199 : 	L .x..x	D x..x.	36	15	4	24	21	34	7	35	41	19	18	3	..xxx	xxx..	.	x	x
200 : 	O ...xx	+ xx.xx	37	16	5	25	22	35	7	36	42	20	19	4	xxxxx	..xxx	x	x	x
201 : 	G .x.xx	+ xx.xx	38	17	6	26	23	36	8	37	43	21	20	5	x..x.	...x.	x	.	.
202 : 	J xx.x.	. ..x..	39	18	7	1	1	37	9	37	43	21	20	5	xxx..	...x.	.	x	x
203 : 	- xxxxx	- xxxxx	40	19	8	2	2	38	9	38	44	22	21	6	xxx.x	xxx.x	.	x	x
204 : 	V .xxxx	- xxxxx	41	20	9	3	3	39	9	39	45	23	22	7	...x.	x..x.	.	x	x
205 : 	G .x.xx	S x.x..	1	21	10	4	4	40	9	40	46	24	23	8	...x.	xxx.x	.	x	x
206 : 	T ....x	P .xx.x	2	22	11	5	5	41	9	41	47	25	24	9	..x..	.x...	x	x	x
207 : 	U xxx..	E x....	3	23	12	6	6	42	10	42	1	26	25	10	.x..x	..x.x	x	.	x
208 : 	L .x..x	K xxxx.	4	24	13	7	7	43	11	43	2	27	26	11	x..x.	..x.x	x	x	x
209 : 	K xxxx.	T ....x	5	25	14	8	8	44	12	1	3	28	27	12	x...x	.xxx.	x	.	x
210 : 	P .xx.x	A xx...	6	26	15	9	9	45	13	2	4	29	28	13	x..xx	..xx.	.	x	x
211 : 	E x....	K xxxx.	7	27	16	10	10	46	13	3	5	30	29	14	x.xx.	xx...	x	x	x
212 : 	W xx..x	U xxx..	8	28	17	11	11	47	14	4	6	31	30	15	.xx..	.x..x	x	.	x
213 : 	F x.xx.	L .x..x	9	29	18	12	12	48	15	5	7	32	31	16	.xx.x	x..x.	.	.	.
214 : 	/ .....	A xx...	10	30	19	13	13	49	15	5	7	32	31	16	.x.x.	x..x.	.	.	.
215 : 	A xx...	R .x.x.	11	31	20	14	14	50	15	5	7	32	31	16	.....	x..x.	x	.	.
216 : 	Y x.x.x	+ xx.xx	12	1	21	15	15	51	16	5	7	32	31	16	xxx..	x..x.	x	x	x
217 : 	V .xxxx	+ xx.xx	13	2	22	16	16	52	17	6	8	33	32	17	xxxxx	.x.xx	.	.	.
218 : 	I .xx..	. ..x..	14	3	23	17	17	53	17	6	8	33	32	17	...xx	.x.xx	.	.	.
219 : 	Z x...x	- xxxxx	15	4	24	18	18	54	17	6	8	33	32	17	..x.x	.x.xx	.	.	x
220 : 	M ..xxx	- xxxxx	16	5	25	19	19	55	17	7	9	34	33	18	.xx..	x.x..	x	.	x
221 : 	+ xx.xx	U xxx..	17	6	26	20	20	56	18	8	10	35	34	19	.x.xx	.xx..	x	x	x
222 : 	4 .x...	N ..xx.	18	7	27	21	21	57	19	9	11	36	35	20	xx..x	x.xxx	.	.	.
223 : 	/ .....	D x..x.	19	8	28	22	22	58	19	9	11	36	35	20	..x.x	x.xxx	.	.	.
224 : 	D x..x.	+ xx.xx	20	9	29	23	23	59	19	9	11	36	35	20	xxxx.	x.xxx	.	.	x
